batter,total_runs,balls_faced,matches,dismissals,strike_rate,average
A Badoni,963,693,46,36,138.96,26.75
A Symonds,974,745,36,26,130.74,37.46
AB de Villiers,5181,3400,170,125,152.38,41.45
AC Gilchrist,2069,1483,80,76,139.51,27.22
AD Mathews,724,573,41,31,126.35,23.35
AD Russell,2655,1508,114,92,176.06,28.86
AJ Finch,2092,1626,90,84,128.66,24.9
AK Markram,1440,1062,55,46,135.59,31.3
AM Nayar,672,573,50,39,117.28,17.23
AM Rahane,5032,4021,183,167,125.14,30.13
AR Patel,1916,1425,123,88,134.46,21.77
AT Rayudu,4348,3391,185,152,128.22,28.61
Abhishek Sharma,1816,1108,74,67,163.9,27.1
B Sai Sudharsan,1793,1220,40,35,146.97,51.23
BA Stokes,935,695,43,41,134.53,22.8
BB McCullum,2882,2176,109,106,132.44,27.19
BJ Hodge,1400,1112,63,46,125.9,30.43
CA Lynn,1329,941,42,39,141.23,34.08
CH Gayle,4997,3331,141,128,150.02,39.04
CL White,971,757,45,35,128.27,27.74
D Padikkal,1806,1425,74,72,126.74,25.08
DA Miller,3077,2212,133,89,139.1,34.57
DA Warner,6567,4680,184,164,140.32,40.04
DJ Bravo,1560,1196,110,69,130.43,22.61
DJ Hooda,1497,1167,101,82,128.28,18.26
DJ Hussey,1322,1070,61,49,123.55,26.98
DP Conway,1080,770,28,25,140.26,43.2
DPMD Jayawardene,1808,1462,78,64,123.67,28.25
DR Smith,2385,1755,88,81,135.9,29.44
EJG Morgan,1406,1147,74,61,122.58,23.05
F du Plessis,4773,3506,147,135,136.14,35.36
G Gambhir,4217,3394,151,135,124.25,31.24
GC Smith,739,664,29,30,111.3,24.63
GJ Bailey,663,541,36,29,122.55,22.86
GJ Maxwell,2820,1810,134,117,155.8,24.1
H Klaasen,1480,863,45,36,171.49,41.11
HH Gibbs,886,805,36,32,110.06,27.69
HH Pandya,2758,1866,140,99,147.8,27.86
Harbhajan Singh,833,599,88,56,139.07,14.88
IK Pathan,1150,947,82,53,121.44,21.7
Ishan Kishan,2998,2169,112,101,138.22,29.68
JA Morkel,975,683,67,40,142.75,24.38
JC Buttler,4121,2749,119,106,149.91,38.88
JH Kallis,2427,2213,95,89,109.67,27.27
JM Bairstow,1674,1142,52,50,146.58,33.48
JM Sharma,991,628,47,39,157.8,25.41
JP Duminy,2029,1631,75,49,124.4,41.41
KA Pollard,3437,2315,168,129,148.47,26.64
KC Sangakkara,1687,1385,68,69,121.81,24.45
KD Karthik,4843,3570,233,189,135.66,25.62
KH Pandya,1756,1323,114,80,132.73,21.95
KK Nair,1694,1283,76,72,132.03,23.53
KL Rahul,5235,3836,135,115,136.47,45.52
KM Jadhav,1208,969,81,54,124.66,22.37
KP Pietersen,1001,742,36,29,134.91,34.52
KS Williamson,2132,1692,76,59,126.0,36.14
LMP Simmons,1079,848,29,27,127.24,39.96
LRPL Taylor,1017,818,54,41,124.33,24.8
LS Livingstone,1051,655,47,40,160.46,26.28
M Vijay,2619,2147,105,97,121.98,27.0
M Vohra,1083,828,51,48,130.8,22.56
MA Agarwal,2764,2053,125,119,134.63,23.23
MC Henriques,1000,785,54,38,127.39,26.32
MEK Hussey,1977,1610,58,52,122.8,38.02
MK Pandey,3951,3239,161,135,121.98,29.27
MK Tiwary,1695,1444,83,61,117.38,27.79
ML Hayden,1107,799,32,28,138.55,39.54
MM Ali,1167,831,59,51,140.43,22.88
MP Stoinis,2026,1392,99,73,145.55,27.75
MR Marsh,1292,902,49,45,143.24,28.71
MS Bisla,798,700,39,37,114.0,21.57
MS Dhoni,5439,3935,241,158,138.22,34.42
Mandeep Singh,1706,1385,97,85,123.18,20.07
N Pooran,2293,1355,86,67,169.23,34.22
N Rana,2853,2079,112,104,137.23,27.43
N Wadhera,719,500,31,26,143.8,27.65
NV Ojha,1554,1308,94,74,118.81,21.0
P Simran Singh,1355,884,52,52,153.28,26.06
PA Patel,2848,2350,136,127,121.19,22.43
PD Salt,1056,595,34,32,177.48,33.0
PP Chawla,624,561,86,57,111.23,10.95
PP Shaw,1892,1279,79,77,147.93,24.57
Q de Kock,3312,2465,115,108,134.36,30.67
R Ashwin,833,703,93,63,118.49,13.22
R Dravid,2174,1878,82,77,115.76,28.23
R Parag,1570,1101,72,60,142.6,26.17
R Tewatia,1112,807,76,49,137.79,22.69
RA Jadeja,3260,2489,194,123,130.98,26.5
RA Tripathi,2291,1655,98,86,138.43,26.64
RD Gaikwad,2502,1811,70,61,138.16,41.02
RG Sharma,7048,5317,266,246,132.56,28.65
RK Singh,1099,750,51,36,146.53,30.53
RM Patidar,1111,719,38,36,154.52,30.86
RR Pant,3566,2407,123,107,148.15,33.33
RV Uthappa,4954,3784,197,184,130.92,26.92
S Badrinath,1441,1208,65,48,119.29,30.02
S Dhawan,6769,5304,221,194,127.62,34.89
S Dube,1859,1290,75,61,144.11,30.48
SA Yadav,4311,2889,151,123,149.22,35.05
SC Ganguly,1349,1257,56,54,107.32,24.98
SE Marsh,2489,1866,69,65,133.39,38.29
SK Raina,5536,4025,200,168,137.54,32.95
SM Curran,997,725,53,41,137.52,24.32
SO Hetmyer,1488,975,78,53,152.62,28.08
SP Narine,1780,1067,118,95,166.82,18.74
SPD Smith,2495,1931,93,78,129.21,31.99
SR Tendulkar,2334,1941,78,71,120.25,32.87
SR Watson,3880,2801,141,126,138.52,30.79
SS Iyer,3735,2792,131,114,133.78,32.76
SS Tiwary,1494,1235,73,50,120.97,29.88
ST Jayasuriya,768,529,30,29,145.18,26.48
STR Binny,880,682,66,44,129.03,20.0
SV Samson,4704,3368,171,151,139.67,31.15
Shakib Al Hasan,795,635,52,40,125.2,19.88
Shubman Gill,3866,2774,114,98,139.37,39.45
TL Suman,676,573,39,30,117.98,22.53
TM Dilshan,1153,1001,50,41,115.18,28.12
TM Head,1146,667,37,33,171.81,34.73
Tilak Varma,1499,1032,51,38,145.25,39.45
V Kohli,8671,6505,259,231,133.3,37.54
V Sehwag,2728,1740,104,98,156.78,27.84
V Shankar,1233,947,63,46,130.2,26.8
VR Iyer,1468,1068,56,50,137.45,29.36
WP Saha,2934,2296,143,121,127.79,24.25
Y Venugopal Rao,985,832,52,42,118.39,23.45
YBK Jaiswal,2166,1412,66,62,153.4,34.94
YK Pathan,3222,2233,153,111,144.29,29.03
Yuvraj Singh,2754,2115,126,109,130.21,25.27
